ID,Name,Age,City,Email,Score
35,Diana Williams,44,Groningen,diana.williams62@mail.com,86.47
36,Alice Williams,42,Amsterdam,alice.williams50@hogeschool.nl,92.65
37,Hank Jones,45,Maastricht,hank.jones94@student.net,15.48
38,Eve Brown,21,Eindhoven,eve.brown95@example.com,74.8
39,Alice Smith,55,Groningen,alice.smith65@mail.com,5.69
40,Bob Williams,22,Eindhoven,bob.williams9@mail.com,40.38
41,Diana Smith,57,Amsterdam,diana.smith54@hogeschool.nl,93.47
42,Diana Miller,33,Utrecht,diana.miller51@mail.com,67.17
43,Eve Garcia,38,Amsterdam,eve.garcia2@student.net,62.12
44,Bob Johnson,52,Rotterdam,bob.johnson65@hogeschool.nl,13.25
45,Frank Johnson,33,Utrecht,frank.johnson37@mail.com,43.82
46,Eve Smith,60,Eindhoven,eve.smith39@example.com,93.89
47,Charlie Jones,25,Amsterdam,charlie.jones96@mail.com,27.23
48,Diana Miller,31,Maastricht,diana.miller82@hogeschool.nl,50.54
49,Eve Smith,23,Maastricht,eve.smith55@hogeschool.nl,4.41
50,Frank Williams,58,Utrecht,frank.williams21@student.net,55.17
51,Grace Smith,25,Amsterdam,grace.smith89@mail.com,54.56
52,Frank Williams,45,Rotterdam,frank.williams6@hogeschool.nl,36.47
53,Alice Miller,31,Maastricht,alice.miller32@example.com,35.37
54,Grace Williams,33,Rotterdam,grace.williams23@student.net,2.48
55,Frank Davis,60,Maastricht,frank.davis32@hogeschool.nl,15.92
56,Bob Davis,20,Groningen,bob.davis29@mail.com,81.66
57,Hank Miller,37,Rotterdam,hank.miller29@example.com,66.0
58,Grace Miller,35,Amsterdam,grace.miller99@hogeschool.nl,35.11
59,Grace Miller,19,Amsterdam,grace.miller34@mail.com,58.06
60,Eve Smith,24,Eindhoven,eve.smith56@hogeschool.nl,72.85
61,Frank Davis,56,Eindhoven,frank.davis15@student.net,89.95
62,Diana Jones,20,Maastricht,diana.jones56@example.com,51.99
63,Diana Miller,45,Amsterdam,diana.miller86@hogeschool.nl,62.32
64,Bob Jones,50,Utrecht,bob.jones86@student.net,32.62
65,Eve Williams,30,Groningen,eve.williams86@student.net,67.73
66,Charlie Jones,43,Eindhoven,charlie.jones1@hogeschool.nl,28.69
67,Grace Miller,47,Groningen,grace.miller57@mail.com,51.12
68,Charlie Johnson,36,Eindhoven,charlie.johnson85@hogeschool.nl,9.34
69,Diana Jones,32,Rotterdam,diana.jones19@example.com,4.62
70,Hank Johnson,47,Groningen,hank.johnson81@mail.com,71.83
71,Grace Garcia,43,Rotterdam,grace.garcia19@example.com,89.27
72,Bob Davis,32,Rotterdam,bob.davis90@student.net,5.02
73,Diana Johnson,47,Rotterdam,diana.johnson60@hogeschool.nl,95.0
74,Hank Davis,53,Groningen,hank.davis21@student.net,45.01
75,Diana Jones,51,Groningen,diana.jones81@mail.com,27.46
76,Bob Jones,33,Utrecht,bob.jones43@hogeschool.nl,89.3
77,Bob Williams,27,Rotterdam,bob.williams50@mail.com,70.64
78,Bob Davis,44,Utrecht,bob.davis70@student.net,41.58
79,Diana Davis,42,Eindhoven,diana.davis90@example.com,85.67
80,Grace Garcia,18,Utrecht,grace.garcia39@student.net,85.34
81,Grace Brown,49,Rotterdam,grace.brown35@student.net,48.56
82,Grace Miller,60,Maastricht,grace.miller52@mail.com,84.05
83,Charlie Smith,43,Eindhoven,charlie.smith73@example.com,8.39
84,Grace Williams,47,Rotterdam,grace.williams7@hogeschool.nl,37.91
85,Diana Garcia,38,Utrecht,diana.garcia98@student.net,27.83
86,Grace Jones,23,Groningen,grace.jones3@example.com,99.99
87,Frank Brown,59,Amsterdam,frank.brown84@example.com,75.42
88,Diana Brown,19,Eindhoven,diana.brown20@mail.com,12.62
89,Bob Brown,47,Maastricht,bob.brown33@hogeschool.nl,16.78
90,Bob Williams,37,Amsterdam,bob.williams75@example.com,92.89
91,Grace Davis,30,Amsterdam,grace.davis76@mail.com,10.19
92,Eve Johnson,54,Amsterdam,eve.johnson45@student.net,66.15
93,Bob Miller,18,Groningen,bob.miller63@example.com,43.35
94,Frank Garcia,27,Groningen,frank.garcia23@hogeschool.nl,61.59
95,Hank Garcia,45,Maastricht,hank.garcia76@hogeschool.nl,32.23
96,Diana Johnson,35,Groningen,diana.johnson32@student.net,56.98
97,Grace Miller,19,Groningen,grace.miller42@mail.com,48.75
98,Frank Jones,39,Utrecht,frank.jones77@hogeschool.nl,55.58
99,Diana Johnson,33,Maastricht,diana.johnson53@student.net,55.52
100,Diana Garcia,59,Maastricht,diana.garcia63@student.net,79.29
101,Bob Jones,32,Groningen,bob.jones89@mail.com,30.62
102,Frank Garcia,53,Eindhoven,frank.garcia45@student.net,99.66
103,Frank Miller,47,Utrecht,frank.miller40@hogeschool.nl,23.05
104,Diana Miller,25,Maastricht,diana.miller69@mail.com,19.15
105,Hank Jones,55,Eindhoven,hank.jones77@hogeschool.nl,98.05
106,Diana Jones,32,Utrecht,diana.jones23@hogeschool.nl,1.41
107,Charlie Jones,20,Amsterdam,charlie.jones71@hogeschool.nl,69.74
108,Charlie Garcia,24,Amsterdam,charlie.garcia74@hogeschool.nl,46.94
109,Hank Miller,29,Amsterdam,hank.miller33@student.net,11.41
110,Bob Davis,49,Amsterdam,bob.davis74@example.com,15.17
111,Eve Johnson,33,Amsterdam,eve.johnson72@student.net,60.63
112,Diana Davis,46,Groningen,diana.davis39@student.net,30.54
113,Alice Johnson,31,Maastricht,alice.johnson28@hogeschool.nl,66.04
114,Charlie Brown,29,Eindhoven,charlie.brown10@mail.com,0.27
115,Hank Garcia,36,Amsterdam,hank.garcia30@hogeschool.nl,70.7
116,Hank Johnson,32,Utrecht,hank.johnson81@mail.com,42.51
117,Diana Williams,35,Rotterdam,diana.williams10@example.com,16.59
118,Eve Jones,46,Amsterdam,eve.jones60@hogeschool.nl,69.97
119,Eve Garcia,46,Amsterdam,eve.garcia77@example.com,88.94
120,Frank Jones,19,Amsterdam,frank.jones30@example.com,99.96
121,Eve Smith,29,Groningen,eve.smith67@student.net,91.61
122,Charlie Davis,58,Groningen,charlie.davis12@student.net,34.8
123,Frank Miller,60,Amsterdam,frank.miller21@hogeschool.nl,41.16
124,Hank Jones,60,Groningen,hank.jones98@example.com,45.48
125,Frank Jones,38,Amsterdam,frank.jones99@student.net,86.49
126,Alice Garcia,44,Amsterdam,alice.garcia25@hogeschool.nl,62.26
127,Hank Garcia,21,Rotterdam,hank.garcia35@mail.com,92.77
128,Hank Garcia,25,Amsterdam,hank.garcia81@mail.com,70.98
129,Eve Smith,53,Groningen,eve.smith12@mail.com,99.23
130,Bob Garcia,25,Maastricht,bob.garcia20@student.net,93.27
131,Eve Jones,44,Groningen,eve.jones61@mail.com,45.68
132,Charlie Davis,30,Eindhoven,charlie.davis66@mail.com,86.4
133,Eve Davis,39,Eindhoven,eve.davis35@example.com,28.28
134,Eve Garcia,27,Groningen,eve.garcia69@student.net,34.51
135,Grace Garcia,38,Rotterdam,grace.garcia90@mail.com,57.18
136,Diana Davis,20,Utrecht,diana.davis96@student.net,70.52
137,Grace Davis,60,Maastricht,grace.davis20@student.net,96.48
138,Charlie Miller,24,Groningen,charlie.miller13@student.net,1.53
139,Charlie Davis,59,Rotterdam,charlie.davis10@student.net,78.15
140,Eve Miller,57,Maastricht,eve.miller51@example.com,85.18
141,Grace Miller,58,Maastricht,grace.miller98@student.net,87.24
142,Alice Johnson,33,Maastricht,alice.johnson88@hogeschool.nl,99.74
143,Bob Davis,24,Maastricht,bob.davis91@example.com,44.37
144,Eve Smith,20,Utrecht,eve.smith8@hogeschool.nl,35.85
145,Grace Williams,33,Eindhoven,grace.williams53@mail.com,17.0
146,Bob Davis,57,Maastricht,bob.davis31@student.net,91.28
147,Charlie Brown,47,Maastricht,charlie.brown33@student.net,25.53
148,Alice Garcia,36,Maastricht,alice.garcia70@mail.com,7.39
149,Frank Jones,58,Groningen,frank.jones89@hogeschool.nl,45.68
150,Eve Brown,42,Groningen,eve.brown14@mail.com,38.14
151,Frank Jones,36,Amsterdam,frank.jones85@student.net,27.45
152,Alice Garcia,36,Rotterdam,alice.garcia78@hogeschool.nl,21.9
153,Diana Jones,60,Maastricht,diana.jones18@example.com,90.34
154,Alice Jones,46,Amsterdam,alice.jones75@hogeschool.nl,73.24
155,Bob Jones,38,Maastricht,bob.jones54@mail.com,20.08
156,Frank Jones,28,Utrecht,frank.jones62@hogeschool.nl,74.66
157,Frank Johnson,47,Amsterdam,frank.johnson19@mail.com,86.01
158,Grace Miller,23,Groningen,grace.miller2@hogeschool.nl,53.66
159,Hank Miller,34,Eindhoven,hank.miller49@hogeschool.nl,10.83
160,Diana Garcia,19,Eindhoven,diana.garcia72@hogeschool.nl,91.53
161,Diana Johnson,58,Groningen,diana.johnson90@hogeschool.nl,64.92
162,Bob Williams,20,Amsterdam,bob.williams39@student.net,11.61
163,Diana Williams,42,Groningen,diana.williams48@student.net,58.73
164,Charlie Davis,59,Amsterdam,charlie.davis63@student.net,93.91
165,Eve Smith,41,Rotterdam,eve.smith57@student.net,95.06
166,Frank Johnson,41,Eindhoven,frank.johnson83@hogeschool.nl,6.06
167,Eve Brown,25,Groningen,eve.brown12@mail.com,64.17
168,Alice Smith,39,Rotterdam,alice.smith17@mail.com,6.86
169,Diana Brown,32,Utrecht,diana.brown19@example.com,27.73
170,Charlie Williams,52,Utrecht,charlie.williams23@example.com,66.11
171,Alice Williams,18,Utrecht,alice.williams31@hogeschool.nl,1.58
172,Eve Smith,26,Maastricht,eve.smith54@example.com,74.57
173,Hank Garcia,41,Eindhoven,hank.garcia76@example.com,45.2
174,Diana Smith,60,Eindhoven,diana.smith39@student.net,64.33
175,Alice Smith,48,Groningen,alice.smith55@example.com,49.03
176,Hank Johnson,23,Utrecht,hank.johnson78@mail.com,6.57
177,Eve Miller,42,Eindhoven,eve.miller68@hogeschool.nl,45.37
178,Grace Johnson,25,Maastricht,grace.johnson84@mail.com,43.01
179,Diana Davis,39,Groningen,diana.davis52@student.net,72.96
180,Frank Davis,38,Maastricht,frank.davis33@hogeschool.nl,95.36
181,Hank Johnson,23,Amsterdam,hank.johnson12@student.net,9.66
182,Frank Williams,53,Amsterdam,frank.williams76@hogeschool.nl,67.0
183,Grace Miller,60,Groningen,grace.miller93@example.com,96.84
184,Eve Miller,24,Eindhoven,eve.miller65@mail.com,15.47
185,Hank Brown,24,Utrecht,hank.brown72@hogeschool.nl,11.49
186,Eve Brown,45,Eindhoven,eve.brown99@example.com,60.9
187,Eve Smith,29,Utrecht,eve.smith90@hogeschool.nl,92.15
188,Frank Smith,29,Rotterdam,frank.smith73@student.net,6.96
189,Alice Johnson,51,Rotterdam,alice.johnson49@student.net,45.36
190,Charlie Miller,37,Maastricht,charlie.miller42@example.com,88.33
191,Charlie Williams,57,Amsterdam,charlie.williams87@example.com,27.21
192,Grace Garcia,56,Groningen,grace.garcia54@hogeschool.nl,21.56
193,Bob Miller,45,Amsterdam,bob.miller37@student.net,52.69
194,Eve Smith,32,Groningen,eve.smith77@example.com,0.77
195,Eve Brown,26,Utrecht,eve.brown38@hogeschool.nl,12.0
196,Hank Davis,29,Rotterdam,hank.davis49@mail.com,50.03
197,Frank Johnson,43,Maastricht,frank.johnson6@student.net,1.87
198,Bob Miller,54,Groningen,bob.miller74@student.net,70.95
199,Grace Jones,25,Groningen,grace.jones3@hogeschool.nl,17.19
200,Hank Miller,23,Groningen,hank.miller14@mail.com,43.57
201,Grace Frank,25,Groningen,grace.jones3hogeschool.nl,17.19



